Product_ID,Product_Name,Category,Price
100,Mobile 157,Home,0
101,Shoes 267,CLOTHING,-200
102,Shoes 121,CLOTHING,933
103,Bag 65,CLOTHING,0
104,Headphones 89,electronics,0
105,Headphones 382,Home,-200
106,Shoes 472,Electronics,-200
107,Table 452,electronics,0
108,Shoes 69,CLOTHING,1610
109,Bag 24,,-200
110,Headphones 225,,143
111,Table 63,,2544
112,Camera 65,Clothing,4999
113,Laptop 379,,2244
114,Table 166,Electronics,0
115,Watch 192,CLOTHING,972
116,Sofa 121,electronics,1529
117,Watch 135,CLOTHING,285
118,Shoes 183,electronics,-200
119,Table 211,,-200
120,Camera 94,Home,-200
121,Headphones 110,electronics,3288
122,T-shirt 47,,2370
123,T-shirt 201,electronics,4121
124,Camera 290,CLOTHING,-200
125,Table 396,electronics,2020
126,Watch 455,Electronics,4627
127,Table 328,electronics,781
128,Shoes 283,,0
129,Camera 154,electronics,567
130,T-shirt 454,CLOTHING,-200
131,Shoes 195,Clothing,3112
132,Laptop 202,Electronics,2468
133,Headphones 175,Home,3002
134,Camera 201,Electronics,3341
135,Camera 83,Electronics,1480
136,Watch 14,CLOTHING,3125
137,Headphones 500,Clothing,-200
138,Laptop 409,,1995
139,Table 461,CLOTHING,373
140,Mobile 158,Electronics,3684
141,T-shirt 164,Home,0
142,Camera 433,Clothing,4969
143,Camera 415,Clothing,0
144,Bag 222,CLOTHING,1362
145,Shoes 233,Clothing,624
146,Mobile 236,Clothing,3603
147,T-shirt 391,CLOTHING,2727
148,Bag 485,,0
149,Mobile 45,electronics,4807
150,Headphones 123,,-200
151,Table 496,,0
152,Bag 419,Clothing,875
153,Headphones 229,electronics,1043
154,Table 369,CLOTHING,0
155,Table 60,Electronics,0
156,T-shirt 454,CLOTHING,-200
157,Bag 200,Home,4188
158,Mobile 145,Electronics,766
159,Watch 120,,4819
160,Bag 243,Clothing,-200
161,Headphones 48,Clothing,2439
162,Table 49,Electronics,4700
163,Bag 300,,1065
164,T-shirt 243,,-200
